classId,studentId,date,status,createdAt,id
"19","383","2025-12-03","present","2025-12-03T18:02:09.366Z","81"
"19","384","2025-12-03","present","2025-12-03T18:02:09.366Z","82"
"19","385","2025-12-03","present","2025-12-03T18:02:09.366Z","83"
"19","386","2025-12-03","absent","2025-12-03T18:02:09.366Z","84"
"19","387","2025-12-03","absent","2025-12-03T18:02:09.366Z","85"
"19","388","2025-12-03","absent","2025-12-03T18:02:09.366Z","86"
"19","389","2025-12-03","absent","2025-12-03T18:02:09.366Z","87"
"19","390","2025-12-03","absent","2025-12-03T18:02:09.366Z","88"
"19","391","2025-12-03","absent","2025-12-03T18:02:09.366Z","89"
"19","392","2025-12-03","absent","2025-12-03T18:02:09.366Z","90"
"19","393","2025-12-03","absent","2025-12-03T18:02:09.366Z","91"
"19","394","2025-12-03","absent","2025-12-03T18:02:09.366Z","92"
"19","395","2025-12-03","absent","2025-12-03T18:02:09.366Z","93"
"19","396","2025-12-03","absent","2025-12-03T18:02:09.366Z","94"
"19","397","2025-12-03","absent","2025-12-03T18:02:09.366Z","95"
"19","398","2025-12-03","absent","2025-12-03T18:02:09.366Z","96"
"19","399","2025-12-03","absent","2025-12-03T18:02:09.366Z","97"
"19","400","2025-12-03","absent","2025-12-03T18:02:09.366Z","98"
"19","401","2025-12-03","absent","2025-12-03T18:02:09.366Z","99"
"19","402","2025-12-03","absent","2025-12-03T18:02:09.366Z","100"
"19","403","2025-12-03","absent","2025-12-03T18:02:09.366Z","101"
"19","404","2025-12-03","absent","2025-12-03T18:02:09.366Z","102"
"19","405","2025-12-03","absent","2025-12-03T18:02:09.366Z","103"
"19","406","2025-12-03","absent","2025-12-03T18:02:09.366Z","104"
"36","1","2025-12-03","present","2025-12-03T18:07:00.138Z","105"
"36","2","2025-12-03","present","2025-12-03T18:07:00.140Z","106"
"36","3","2025-12-03","absent","2025-12-03T18:07:00.144Z","107"
"36","4","2025-12-03","present","2025-12-03T18:07:00.145Z","108"
"36","5","2025-12-03","present","2025-12-03T18:07:00.146Z","109"
"36","6","2025-12-03","present","2025-12-03T18:07:00.147Z","110"
"36","7","2025-12-03","absent","2025-12-03T18:07:00.151Z","111"
"36","8","2025-12-03","present","2025-12-03T18:07:00.152Z","112"
"36","9","2025-12-03","present","2025-12-03T18:07:00.152Z","113"
"36","10","2025-12-03","present","2025-12-03T18:07:00.152Z","114"
"36","11","2025-12-03","absent","2025-12-03T18:07:00.153Z","115"
"36","12","2025-12-03","present","2025-12-03T18:07:00.153Z","116"
"36","13","2025-12-03","present","2025-12-03T18:07:00.154Z","117"
"36","14","2025-12-03","present","2025-12-03T18:07:00.154Z","118"
"36","15","2025-12-03","absent","2025-12-03T18:07:00.155Z","119"
"36","16","2025-12-03","present","2025-12-03T18:07:00.155Z","120"
"36","17","2025-12-03","present","2025-12-03T18:07:00.155Z","121"
"36","18","2025-12-03","present","2025-12-03T18:07:00.156Z","122"
"36","19","2025-12-03","absent","2025-12-03T18:07:00.156Z","123"
"36","20","2025-12-03","present","2025-12-03T18:07:00.156Z","124"
"36","21","2025-12-03","present","2025-12-03T18:07:00.157Z","125"
"36","22","2025-12-03","present","2025-12-03T18:07:00.157Z","126"
"36","23","2025-12-03","absent","2025-12-03T18:07:00.157Z","127"
"36","24","2025-12-03","present","2025-12-03T18:07:00.157Z","128"
"36","25","2025-12-03","present","2025-12-03T18:07:00.158Z","129"
"36","26","2025-12-03","present","2025-12-03T18:07:00.158Z","130"
"36","27","2025-12-03","absent","2025-12-03T18:07:00.158Z","131"
"36","28","2025-12-03","present","2025-12-03T18:07:00.159Z","132"
"36","29","2025-12-03","present","2025-12-03T18:07:00.159Z","133"
"36","30","2025-12-03","present","2025-12-03T18:07:00.159Z","134"
"36","31","2025-12-03","absent","2025-12-03T18:07:00.160Z","135"
"36","32","2025-12-03","present","2025-12-03T18:07:00.160Z","136"
"36","33","2025-12-03","present","2025-12-03T18:07:00.160Z","137"
"36","34","2025-12-03","present","2025-12-03T18:07:00.161Z","138"
"36","35","2025-12-03","absent","2025-12-03T18:07:00.161Z","139"
"36","36","2025-12-03","present","2025-12-03T18:07:00.161Z","140"
"36","37","2025-12-03","present","2025-12-03T18:07:00.162Z","141"
"36","38","2025-12-03","present","2025-12-03T18:07:00.162Z","142"
"36","53","2025-12-03","absent","2025-12-03T18:07:00.162Z","143"
"36","54","2025-12-03","present","2025-12-03T18:07:00.163Z","144"
"33","1","2025-12-03","present","2025-12-03T18:17:09.696Z","145"
"33","2","2025-12-03","present","2025-12-03T18:17:09.697Z","146"
"33","3","2025-12-03","absent","2025-12-03T18:17:09.698Z","147"
"33","4","2025-12-03","present","2025-12-03T18:17:09.699Z","148"
"33","5","2025-12-03","present","2025-12-03T18:17:09.699Z","149"
"33","6","2025-12-03","present","2025-12-03T18:17:09.699Z","150"
"33","7","2025-12-03","absent","2025-12-03T18:17:09.699Z","151"
"33","8","2025-12-03","present","2025-12-03T18:17:09.700Z","152"
"33","9","2025-12-03","present","2025-12-03T18:17:09.700Z","153"
